MISSION ELAPSED TIME (min),Rx(km)[J2000-EARTH],Ry(km)[J2000-EARTH],Rz(km)[J2000-EARTH],Vx(km/s)[J2000-EARTH],Vy(km/s)[J2000-EARTH],Vz(km/s)[J2000-EARTH],MASS (kg),EARTH Rx(km)[J2000-EARTH],EARTH Ry(km)[J2000-EARTH],EARTH Rz(km)[J2000-EARTH],EARTH Vx(km/s)[J2000-EARTH],EARTH Vy(km/s)[J2000-EARTH],EARTH Vz(km/s)[J2000-EARTH],MOON Rx(km)[J2000-EARTH],MOON Ry(km)[J2000-EARTH],MOON Rz(km)[J2000-EARTH],MOON Vx(km/s)[J2000-EARTH],MOON Vy(km/s)[J2000-EARTH],MOON Vz(km/s)[J2000-EARTH]
0.0,3690,4220.0,3030.0,-0.308,0.269,0.00072,4590,0,0,0,0,0,0,-315000,212000.0,121000.0,-0.633,-0.668,-0.347
8.236480545,2320,4870.0,3700.0,-7.47,2.14,2.89,60100,0,0,0,0,0,0,-316000,212000.0,121000.0,-0.632,-0.668,-0.347
9.236480545,1870,4980.0,3860.0,-7.65,1.72,2.57,60100,0,0,0,0,0,0,-316000,212000.0,121000.0,-0.631,-0.668,-0.347
10.23648055,1400,5070.0,4010.0,-7.79,1.31,2.24,60100,0,0,0,0,0,0,-316000,212000.0,121000.0,-0.631,-0.668,-0.347
11.23648055,932,5140.0,4130.0,-7.88,0.888,1.91,60100,0,0,0,0,0,0,-316000,211000.0,121000.0,-0.631,-0.669,-0.347
12.23648055,457,5180.0,4240.0,-7.94,0.475,1.57,60100,0,0,0,0,0,0,-316000,211000.0,121000.0,-0.631,-0.669,-0.347
13.23648055,-20,5200.0,4320.0,-7.96,0.0692,1.24,60100,0,0,0,0,0,0,-316000,211000.0,121000.0,-0.631,-0.669,-0.347
14.23648055,-497,5190.0,4380.0,-7.94,-0.328,0.905,60100,0,0,0,0,0,0,-316000,211000.0,121000.0,-0.631,-0.669,-0.348
15.23648055,-972,5160.0,4430.0,-7.88,-0.715,0.575,60100,0,0,0,0,0,0,-316000,211000.0,121000.0,-0.631,-0.669,-0.348
16.23648055,-1440,5100.0,4450.0,-7.79,-1.09,0.25,60100,0,0,0,0,0,0,-316000,211000.0,121000.0,-0.631,-0.669,-0.348
17.23648055,-1910,5030.0,4460.0,-7.68,-1.45,-0.0673,60100,0,0,0,0,0,0,-316000,211000.0,121000.0,-0.63,-0.669,-0.348
18.23648055,-2360,4930.0,4450.0,-7.53,-1.79,-0.376,60100,0,0,0,0,0,0,-316000,211000.0,121000.0,-0.63,-0.669,-0.348
19.23648055,-2810,4810.0,4410.0,-7.35,-2.12,-0.676,60100,0,0,0,0,0,0,-316000,211000.0,121000.0,-0.63,-0.669,-0.348
20.23648055,-3240,4670.0,4370.0,-7.16,-2.43,-0.965,60100,0,0,0,0,0,0,-316000,211000.0,121000.0,-0.63,-0.669,-0.348
21.23648055,-3670,4520.0,4300.0,-6.93,-2.73,-1.24,60100,0,0,0,0,0,0,-316000,211000.0,121000.0,-0.63,-0.669,-0.348
22.23648055,-4080,4350.0,4220.0,-6.69,-3.0,-1.51,60100,0,0,0,0,0,0,-316000,211000.0,121000.0,-0.63,-0.669,-0.348
23.23648055,-4470,4160.0,4120.0,-6.43,-3.26,-1.76,60100,0,0,0,0,0,0,-316000,211000.0,121000.0,-0.63,-0.669,-0.348
24.23648055,-4850,3960.0,4010.0,-6.16,-3.5,-2.0,60100,0,0,0,0,0,0,-316000,211000.0,121000.0,-0.63,-0.67,-0.348
25.23648055,-5210,3740.0,3880.0,-5.87,-3.72,-2.23,60100,0,0,0,0,0,0,-316000,211000.0,121000.0,-0.629,-0.67,-0.348
26.23648055,-5550,3510.0,3740.0,-5.57,-3.93,-2.44,60100,0,0,0,0,0,0,-316000,211000.0,121000.0,-0.629,-0.67,-0.348
27.23648055,-5880,3270.0,3590.0,-5.26,-4.11,-2.64,60100,0,0,0,0,0,0,-316000,211000.0,121000.0,-0.629,-0.67,-0.348
28.23648055,-6180,3020.0,3420.0,-4.93,-4.28,-2.83,60100,0,0,0,0,0,0,-316000,211000.0,121000.0,-0.629,-0.67,-0.348
29.23648055,-6470,2760.0,3250.0,-4.6,-4.43,-3.01,60100,0,0,0,0,0,0,-316000,211000.0,121000.0,-0.629,-0.67,-0.348
30.23648055,-6730,2490.0,3060.0,-4.27,-4.56,-3.17,60100,0,0,0,0,0,0,-316000,211000.0,121000.0,-0.629,-0.67,-0.348
31.23648055,-6980,2210.0,2870.0,-3.93,-4.68,-3.31,60100,0,0,0,0,0,0,-316000,211000.0,121000.0,-0.629,-0.67,-0.348
32.23648055,-7210,1930.0,2660.0,-3.58,-4.78,-3.45,60100,0,0,0,0,0,0,-316000,211000.0,121000.0,-0.629,-0.67,-0.348
33.23648055,-7410,1640.0,2450.0,-3.23,-4.86,-3.57,60100,0,0,0,0,0,0,-317000,211000.0,121000.0,-0.628,-0.67,-0.348
34.23648055,-7590,1340.0,2230.0,-2.88,-4.93,-3.68,60100,0,0,0,0,0,0,-317000,211000.0,121000.0,-0.628,-0.67,-0.348
35.23648055,-7760,1040.0,2010.0,-2.53,-4.99,-3.78,60100,0,0,0,0,0,0,-317000,211000.0,121000.0,-0.628,-0.67,-0.348
36.23648055,-7900,744.0,1780.0,-2.18,-5.03,-3.86,60100,0,0,0,0,0,0,-317000,210000.0,121000.0,-0.628,-0.671,-0.349
37.23648055,-8020,441.0,1550.0,-1.83,-5.06,-3.94,60100,0,0,0,0,0,0,-317000,210000.0,121000.0,-0.628,-0.671,-0.349
38.23648055,-8120,137.0,1310.0,-1.48,-5.07,-4.0,60100,0,0,0,0,0,0,-317000,210000.0,121000.0,-0.628,-0.671,-0.349
39.23648055,-8190,-167.0,1070.0,-1.13,-5.07,-4.05,60100,0,0,0,0,0,0,-317000,210000.0,121000.0,-0.628,-0.671,-0.349
40.23648055,-8250,-471.0,823.0,-0.782,-5.05,-4.09,60100,0,0,0,0,0,0,-317000,210000.0,121000.0,-0.628,-0.671,-0.349
