MISSION ELAPSED TIME (min),Rx(km)[J2000-EARTH],Ry(km)[J2000-EARTH],Rz(km)[J2000-EARTH],Vx(km/s)[J2000-EARTH],Vy(km/s)[J2000-EARTH],Vz(km/s)[J2000-EARTH],MASS (kg),WPSA,WPSA Range,DS54,DS54 Range,DS24,Range DS24,DS34,Range DS34
0.0,3689.773564,4222.72217,3028.891599,-0.307917333,0.268538679,0.000720065,4592.6,1,1139.486313,0,,0,,0,
8.236480545,2319.817224,4865.712767,3698.167005,-7.474524081,2.142612551,2.894976887,60129.73972,0,,0,,0,,0,
9.236480545,1865.808701,4981.749611,3862.256016,-7.65217195,1.724827772,2.573245596,60129.73972,0,,1,3804.920572,0,,0,
10.23648055,1402.384261,5072.667625,4006.812686,-7.788450893,1.30581359,2.244322238,60129.73972,0,,1,3804.920572,0,,0,
11.23648055,932.0104707,5138.4804,4131.480818,-7.883948983,0.888450483,1.910701763,60129.73972,0,,1,3804.920572,0,,0,
12.23648055,457.1066771,5179.368385,4236.050692,-7.93964356,0.475414741,1.574766234,60129.73972,0,,1,3804.920572,0,,0,
13.23648055,-19.97676063,5195.6658,4320.451362,-7.956847669,0.069152241,1.238754935,60129.73972,0,,1,3804.920572,0,,0,
14.23648055,-496.9769412,5187.846254,4384.741366,-7.937154128,-0.328138849,0.904741609,60129.73972,0,,1,3804.920572,0,,0,
15.23648055,-971.7335203,5156.50757,4429.098291,-7.882379437,-0.714516954,0.574618717,60129.73972,0,,1,3804.920572,0,,0,
16.23648055,-1442.200491,5102.356322,4453.807591,-7.79450954,-1.08829837,0.250088327,60129.73972,0,,1,3804.920572,0,,0,
17.23648055,-1906.454806,5026.192483,4459.251039,-7.675649078,-1.448052019,-0.067341031,60129.73972,0,,1,3804.920572,0,,0,
18.23648055,-2362.702095,4928.894567,4445.895151,-7.527975387,-1.792588909,-0.376352394,60129.73972,0,,1,3804.920572,0,,0,
19.23648055,-2809.27978,4811.405518,4414.27986,-7.353697992,-2.120947607,-0.675814242,60129.73972,0,,1,3804.920572,0,,0,
20.23648055,-3244.657942,4674.719569,4365.00765,-7.155023952,-2.432376945,-0.964771208,60129.73972,0,,1,3804.920572,0,,0,
21.23648055,-3667.438274,4519.870184,4298.733329,-6.934129027,-2.726317053,-1.242432508,60129.73972,0,,1,3804.920572,0,,0,
22.23648055,-4076.35148,4347.919174,4216.154538,-6.693134399,-3.002379637,-1.50815892,60129.73972,0,,0,,0,,0,
23.23648055,-4470.253434,4159.946995,4118.003068,-6.434088495,-3.260328225,-1.76144897,60129.73972,0,,0,,0,,0,
24.23648055,-4848.120379,3957.044221,4005.037018,-6.158953369,-3.500058919,-2.001924858,60129.73972,0,,0,,0,,0,
25.23648055,-5209.043443,3740.304141,3878.033793,-5.869595089,-3.721582058,-2.229318554,60129.73972,0,,0,,0,,0,
26.23648055,-5552.222675,3510.816431,3737.783925,-5.567777544,-3.925005061,-2.443458358,60129.73972,0,,0,,0,,0,
27.23648055,-5876.960802,3269.661807,3585.085678,-5.255159138,-4.110516609,-2.64425616,60129.73972,0,,0,,0,,0,
28.23648055,-6182.656865,3017.907591,3420.740395,-4.933291871,-4.278372264,-2.831695548,60129.73972,0,,0,,0,,0,
29.23648055,-6468.799851,2756.604091,3245.548528,-4.603622351,-4.428881558,-3.005820849,60129.73972,0,,0,,0,,0,
30.23648055,-6734.962443,2486.781712,3060.3063,-4.267494323,-4.562396518,-3.166727157,60129.73972,0,,0,,0,,0,
31.23648055,-6980.794954,2209.448722,2865.802933,-3.926152374,-4.679301593,-3.314551359,60129.73972,0,,0,,0,,0,
32.23648055,-7206.019509,1925.589567,2662.818384,-3.580746503,-4.780004897,-3.449464124,60129.73972,0,,0,,0,,0,
33.23648055,-7410.424523,1636.163691,2452.121533,-3.232337288,-4.864930666,-3.57166284,60129.73972,0,,0,,0,,0,
34.23648055,-7593.859503,1342.104762,2234.468776,-2.881901453,-4.934512844,-3.681365419,60129.73972,0,,0,,0,,0,
35.23648055,-7756.230186,1044.320257,2010.602951,-2.530337643,-4.989189675,-3.778804918,60129.73972,0,,0,,0,,0,
36.23648055,-7897.494034,743.6913444,1781.25258,-2.178472278,-5.029399205,-3.864224916,60129.73972,0,,0,,0,,0,
37.23648055,-8017.65607,441.0730108,1547.131351,-1.827065381,-5.055575577,-3.937875555,60129.73972,0,,0,,0,,0,
38.23648055,-8116.765072,137.2943871,1308.937834,-1.476816284,-5.068146042,-4.000010195,60129.73972,0,,0,,0,,0,
39.23648055,-8194.910096,-166.8407631,1067.355371,-1.128369166,-5.067528578,-4.050882604,60129.73972,0,,0,,0,,0,
40.23648055,-8252.217328,-470.5534292,823.0521261,-0.782318377,-5.054130043,-4.090744632,60129.73972,0,,0,,0,,0,
41.23648055,-8288.847247,-773.088643,576.6812584,-0.439213522,-5.028344794,-4.119844303,60129.73972,0,,0,,0,,0,
42.23648055,-8304.992087,-1073.714697,328.8811994,-0.099564283,-4.990553688,-4.13842427,60129.73972,0,,0,,0,,0,
43.23648055,-8300.87358,-1371.722312,80.27601373,0.236155013,-4.94112344,-4.146720601,60129.73972,0,,0,,0,,0,
44.23648055,-8276.740968,-1666.42378,-168.5241763,0.567501093,-4.880406252,-4.144961838,60129.73972,0,,0,,0,,0,
45.23648055,-8232.869254,-1957.152085,-416.9227173,0.89405769,-4.808739699,-4.133368303,60129.73972,0,,0,,0,,0,
46.23648055,-8169.557709,-2243.260027,-664.3359157,1.215431742,-4.726446824,-4.112151614,60129.73972,0,,0,,0,,0,
47.23648055,-8087.128576,-2524.119362,-910.1925063,1.531249817,-4.633836405,-4.081514385,60129.73972,0,,0,,0,,0,
48.63913203,-7939.798306,-2908.441304,-1251.694232,1.977502442,-4.518661328,-4.051248228,59529.04604,0,,0,,0,,0,
49.63913203,-7812.08519,-3176.120857,-1493.237622,2.278498027,-4.402397725,-3.998707764,59529.04604,0,,0,,0,,0,
50.63913203,-7666.514452,-3436.54064,-1731.362087,2.572698408,-4.276714285,-3.937313264,59529.04604,0,,0,,0,,0,
51.63913203,-7503.504192,-3689.143523,-1965.541578,2.859758453,-4.14187814,-3.867236779,59529.04604,0,,0,,0,,0,
52.63913203,-7323.493029,-3933.388136,-2195.260178,3.139339068,-3.998147683,-3.788643966,59529.04604,0,,0,,0,,0,
53.63913203,-7126.939801,-4168.748373,-2420.011724,3.411104897,-3.845773411,-3.70169445,59529.04604,0,,0,,0,,0,
54.63913203,-6914.323412,-4394.712944,-2639.299462,3.674722153,-3.684998852,-3.606542281,59529.04604,0,,0,,0,,0,
55.63913203,-6686.142798,-4610.784984,-2852.635728,3.929856562,-3.516061582,-3.503336479,59529.04604,0,,0,,0,,0,
56.63913203,-6442.917013,-4816.481736,-3059.541662,4.176171412,-3.33919433,-3.392221671,59529.04604,0,,0,,0,,0,
57.63913203,-6185.185435,-5011.334287,-3259.546969,4.413325706,-3.154626168,-3.273338812,59529.04604,0,,0,,0,,0,
58.63913203,-5913.508075,-5194.887393,-3452.189722,4.640972414,-2.962583791,-3.146825995,59529.04604,0,,0,,0,,0,
59.63913203,-5628.465986,-5366.699371,-3637.016213,4.858756819,-2.763292884,-3.012819353,59529.04604,0,,0,,0,,0,
60.63913203,-5330.661775,-5526.34209,-3813.580871,5.066314949,-2.556979596,-2.871454055,59529.04604,0,,0,,0,,0,
61.63913203,-5020.720203,-5673.401036,-3981.446231,5.263272108,-2.343872109,-2.722865403,59529.04604,0,,0,,0,,0,
62.63913203,-4699.288868,-5807.475493,-4140.182983,5.449241503,-2.124202321,-2.567190031,59529.04604,0,,0,,0,,0,
63.63913203,-4367.038972,-5928.178812,-4289.370084,5.623822963,-1.898207648,-2.404567226,59529.04604,0,,0,,0,,1,4625.421092
64.63913203,-4024.666155,-6035.138804,-4428.594965,5.786601781,-1.66613295,-2.235140366,59529.04604,0,,0,,0,,1,4625.421092
65.63913203,-3672.891406,-6127.998246,-4557.453823,5.937147661,-1.428232603,-2.05905849,59529.04604,0,,0,,0,,1,4625.421092
66.63913203,-3312.462019,-6206.415516,-4675.552006,6.075013815,-1.184772712,-1.876478018,59529.04604,0,,0,,0,,1,4625.421092
67.63913203,-2944.152611,-6270.065373,-4782.504519,6.199736204,-0.936033483,-1.68756462,59529.04604,0,,0,,0,,1,4625.421092
68.63913203,-2568.766175,-6318.639872,-4877.936632,6.310832967,-0.682311771,-1.492495256,59529.04604,0,,0,,0,,1,4625.421092
69.63913203,-2187.135157,-6351.849445,-4961.484629,6.407804052,-0.423923792,-1.291460394,59529.04604,0,,0,,0,,1,4625.421092
70.63913203,-1800.122557,-6369.424154,-5032.796685,6.490131098,-0.161208041,-1.084666421,59529.04604,0,,0,,0,,1,4625.421092
71.63913203,-1408.623024,-6371.115113,-5091.533901,6.557277598,0.105471616,-0.872338257,59529.04604,0,,0,,0,,1,4625.421092
72.63913203,-1013.563928,-6356.696112,-5137.371501,6.6086894,0.375722635,-0.654722189,59529.04604,0,,0,,0,,1,4625.421092
73.63913203,-615.9063979,-6325.96544,-5170.000201,6.6437956,0.649120302,-0.432088917,59529.04604,0,,0,,0,,1,4625.421092
74.63913203,-216.6462854,-6278.747928,-5189.127775,6.662009891,0.92520404,-0.204736845,59529.04604,0,,0,,0,,1,4625.421092
75.63913203,183.1849617,-6214.897211,-5194.480816,6.662732444,1.203473534,0.02700441,59529.04604,0,,0,,0,,1,4625.421092
76.63913203,582.5195612,-6134.298238,-5185.806727,6.645352401,1.483384694,0.262770271,59529.04604,0,,0,,0,,1,4625.421092
77.63913203,980.2528268,-6036.87002,-5162.875933,6.609251078,1.764345475,0.502157236,59529.04604,0,,0,,0,,1,4625.421092
78.63913203,1375.242814,-5922.568637,-5125.484337,6.553805964,2.045711601,0.744718718,59529.04604,0,,0,,0,,1,4625.421092
79.63913203,1766.310234,-5791.390497,-5073.456042,6.478395644,2.326782251,0.989960702,59529.04604,0,,0,,0,,1,4625.421092
80.63913203,2152.23869,-5643.375866,-5006.646323,6.382405742,2.60679576,1.23733728,59529.04604,0,,0,,0,,1,4625.421092
81.63913203,2531.775311,-5478.612637,-4924.944882,6.265236014,2.884925444,1.486246109,59529.04604,0,,0,,0,,1,4625.421092
82.63913203,2903.631839,-5297.240354,-4828.279368,6.126308712,3.16027565,1.736023871,59529.04604,0,,0,,0,,0,
83.63913203,3266.486266,-5099.454462,-4716.619167,5.965078329,3.431878167,1.985941844,59529.04604,0,,0,,0,,0,
84.63913203,3618.985099,-4885.510752,-4589.97946,5.781042846,3.698689183,2.235201684,59529.04604,0,,0,,0,,0,
85.63913203,3959.746345,-4655.729972,-4448.425512,5.57375657,3.959586959,2.482931606,59529.04604,0,,0,,0,,0,
86.63913203,4287.363317,-4410.502549,-4292.077183,5.34284463,4.213370479,2.728183115,59529.04604,0,,0,,0,,0,
